RECTIME,RANGVX,RANGX
4.34,-43.7622,-71.2573
4.35,-46.2036,-71.7297
4.36,-48.584,-72.2241
4.37,-50.6592,-72.7404
4.38,-52.4902,-73.2678
4.39,-53.955,-73.8061
4.4,-54.8095,-74.3609
4.41,-54.9316,-74.9267
4.42,-54.0771,-75.4925
4.43,-54.0771,-76.0473
4.44,-52.9175,-76.6021
4.45,-51.8799,-77.1405
4.46,-51.3305,-77.6623
4.47,-51.1474,-78.1787
4.48,-51.7578,-78.684
4.49,-53.7109,-79.1839
4.5,-57.0068,-79.7003
4.51,-60.6689,-80.2496
4.52,-64.3921,-80.8264
4.53,-67.5049,-81.4471
4.54,-69.8242,-82.0953
4.55,-71.5332,-82.771
4.56,-72.4487,-83.4576
4.57,-72.937,-84.1607
4.58,-73.4863,-84.8639
4.59,-74.5849,-85.5615
4.6,-76.355,-86.2866
4.61,-77.6367,-87.0282
4.62,-77.6367,-87.7972
4.63,-78.0029,-88.5553
4.64,-79.2236,-89.3023
4.65,-81.1157,-90.0604
4.66,-82.7026,-90.8404
4.67,-83.313,-91.6424
4.68,-83.1299,-92.4499
4.69,-82.4585,-93.2629
4.7,-81.4209,-94.0594
4.71,-80.9936,-94.8394
4.72,-82.5805,-95.5975
4.73,-85.0219,-96.3665
4.74,-87.1582,-97.1685
4.75,-88.8061,-98.0035
4.76,-89.4165,-98.8769
4.77,-88.7451,-99.7613
4.78,-87.0971,-100.6512
4.79,-84.2285,-101.5301
4.8,-81.604,-102.3816
4.81,-79.5898,-103.2
4.82,-77.2705,-104.013
4.83,-74.8901,-104.8095
4.84,-73.1201,-105.5896
4.85,-71.8383,-106.3531
4.86,-69.8242,-107.1167
4.87,-67.3217,-107.8582
4.88,-64.8193,-108.5669
4.89,-62.7441,-109.248
4.9,-60.9131,-109.9072
4.91,-59.9975,-110.5444
4.92,-59.6924,-111.1816
4.93,-59.021,-111.8298
4.94,-58.0444,-112.4725
4.95,-56.6406,-113.1097
4.96,-54.6264,-113.7359
4.97,-52.6733,-114.3347
4.98,-50.9033,-114.9115
4.99,-48.8891,-115.4718
5,-46.6919,-116.0101
5.01,-45.4101,-116.521
5.02,-44.6777,-117.0208
5.03,-44.0674,-117.5097
5.04,-43.7011,-117.9876
5.05,-43.7622,-118.4655
5.06,-44.1894,-118.9379
5.07,-44.5556,-119.4159
5.08,-44.9829,-119.8993
5.09,-45.9594,-120.3827
5.1,-47.1801,-120.877
5.11,-48.1567,-121.3824
5.12,-48.8281,-121.8988
5.13,-49.1333,-122.4316
5.14,-49.5605,-122.9699
5.15,-49.7436,-123.5028
5.16,-48.645,-124.0411
5.17,-46.5698,-124.5684
5.18,-44.4336,-125.0628
5.19,-42.4804,-125.5352
5.2,-41.6259,-125.9802
5.21,-41.9311,-126.4141
5.22,-42.8467,-126.8536
5.23,-44.4946,-127.3095
5.24,-47.1801,-127.7874
5.25,-50.1098,-128.2928
5.26,-52.3681,-128.8366
5.27,-53.7109,-129.4024
5.28,-53.6499,-129.9737
5.29,-53.1006,-130.5395
5.3,-52.9175,-131.0943
5.31,-52.7954,-131.6491
5.32,-52.7343,-132.2149
5.33,-52.063,-132.7862
5.34,-52.0019,-133.3575
5.35,-53.2226,-133.9233
5.36,-54.5044,-134.5111
5.37,-54.9926,-135.1153
5.38,-55.2368,-135.7196
5.39,-56.0913,-136.3183
5.4,-56.8847,-136.9226
5.41,-57.312,-137.5378
5.42,-57.4951,-138.1585
5.43,-57.8613,-138.7793
5.44,-58.1054,-139.411
5.45,-57.8613,-140.0482
5.46,-56.6406,-140.6854
5.47,-54.3823,-141.3171
5.48,-52.124,-141.9213
5.49,-50.2929,-142.4926
5.5,-48.0957,-143.042
5.51,-45.6543,-143.5748
5.52,-43.457,-144.0857
